facility_name,day,bucket_index,time_bucket_15,avg_percent,sample_count,median_percent,p75_percent,confidence
Main Gym Fitness Gym,Monday,24,06:00,1.0,5,1.0,1.0,Low
Main Gym Fitness Gym,Monday,25,06:15,4.4,5,4.0,8.0,Low
Main Gym Fitness Gym,Monday,26,06:30,17.2,5,17.0,24.0,Low
Main Gym Fitness Gym,Monday,27,06:45,14.4,5,15.0,17.0,Low
Main Gym Fitness Gym,Monday,28,07:00,18.6,5,18.0,19.0,Low
Main Gym Fitness Gym,Monday,29,07:15,10.2,5,10.0,14.0,Low
Main Gym Fitness Gym,Monday,30,07:30,10.0,5,10.0,14.0,Low
Main Gym Fitness Gym,Monday,31,07:45,13.8,5,11.0,14.0,Low
Main Gym Fitness Gym,Monday,32,08:00,27.0,5,25.0,29.0,Low
Main Gym Fitness Gym,Monday,33,08:15,22.0,5,22.0,22.0,Low
Main Gym Fitness Gym,Monday,34,08:30,21.2,5,22.0,24.0,Low
Main Gym Fitness Gym,Monday,35,08:45,19.2,5,17.0,24.0,Low
Main Gym Fitness Gym,Monday,36,09:00,22.2,5,19.0,24.0,Low
Main Gym Fitness Gym,Monday,37,09:15,17.0,5,18.0,21.0,Low
Main Gym Fitness Gym,Monday,38,09:30,30.8,5,29.0,29.0,Low
Main Gym Fitness Gym,Monday,39,09:45,26.0,5,24.0,29.0,Low
Main Gym Fitness Gym,Monday,40,10:00,47.8,5,24.0,25.0,Low
Main Gym Fitness Gym,Monday,41,10:15,25.0,5,24.0,28.0,Low
Main Gym Fitness Gym,Monday,42,10:30,22.4,5,24.0,24.0,Low
Main Gym Fitness Gym,Monday,43,10:45,29.2,5,32.0,33.0,Low
Main Gym Fitness Gym,Monday,44,11:00,40.0,5,38.0,46.0,Low
Main Gym Fitness Gym,Monday,45,11:15,33.2,5,35.0,38.0,Low
Main Gym Fitness Gym,Monday,46,11:30,29.8,5,29.0,31.0,Low
Main Gym Fitness Gym,Monday,47,11:45,84.5,4,37.0,91.0,Low
Main Gym Fitness Gym,Monday,48,12:00,41.75,4,41.0,45.25,Low
Main Gym Fitness Gym,Monday,49,12:15,37.0,5,39.0,39.0,Low
Main Gym Fitness Gym,Monday,50,12:30,33.8,5,36.0,38.0,Low
Main Gym Fitness Gym,Monday,51,12:45,33.8,5,38.0,39.0,Low
Main Gym Fitness Gym,Monday,52,13:00,41.8,5,36.0,40.0,Low
Main Gym Fitness Gym,Monday,53,13:15,86.0,5,42.0,57.0,Low
Main Gym Fitness Gym,Monday,54,13:30,41.2,5,44.0,50.0,Low
Main Gym Fitness Gym,Monday,55,13:45,34.0,5,32.0,42.0,Low
Main Gym Fitness Gym,Monday,56,14:00,47.0,5,44.0,57.0,Low
Main Gym Fitness Gym,Monday,57,14:15,54.6,5,33.0,47.0,Low
Main Gym Fitness Gym,Monday,58,14:30,36.0,5,33.0,39.0,Low
Main Gym Fitness Gym,Monday,59,14:45,32.75,4,35.0,36.25,Low
Main Gym Fitness Gym,Monday,60,15:00,37.4,5,36.0,42.0,Low
Main Gym Fitness Gym,Monday,61,15:15,35.6,5,38.0,40.0,Low
Main Gym Fitness Gym,Monday,62,15:30,35.25,4,38.0,38.25,Low
Main Gym Fitness Gym,Monday,63,15:45,36.25,4,33.5,37.75,Low
Main Gym Fitness Gym,Monday,64,16:00,97.5,4,41.5,102.75,Low
Main Gym Fitness Gym,Monday,65,16:15,47.5,4,47.0,52.75,Low
Main Gym Fitness Gym,Monday,66,16:30,52.25,4,55.5,60.0,Low
Main Gym Fitness Gym,Monday,67,16:45,46.0,4,46.0,52.75,Low
Main Gym Fitness Gym,Monday,68,17:00,41.5,4,44.5,50.0,Low
Main Gym Fitness Gym,Monday,69,17:15,44.2,5,44.0,49.0,Low
Main Gym Fitness Gym,Monday,70,17:30,56.2,5,56.0,65.0,Low
Main Gym Fitness Gym,Monday,71,17:45,105.25,4,48.0,114.5,Low
Main Gym Fitness Gym,Monday,72,18:00,85.0,5,50.0,51.0,Low
