facility_name,date,day_of_week,bucket_index_15,time_bucket_15,bucket_15_minute,avg_percent_full,avg_people,capacity,sample_count_within_bucket,source_first_timestamp
Main Gym Fitness Gym,2026-03-31,Tuesday,38,09:30,30,19.0,14.0,72,1,2026-03-31T09:38:30-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,41,10:15,15,39.0,28.0,72,1,2026-03-31T10:15:48-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,44,11:00,0,47.0,34.0,72,1,2026-03-31T11:09:02-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,49,12:15,15,44.0,32.0,72,1,2026-03-31T12:18:17-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,52,13:00,0,56.0,40.0,72,1,2026-03-31T13:02:02-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,55,13:45,45,49.0,35.0,72,1,2026-03-31T13:53:27-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,57,14:15,15,33.0,24.0,72,1,2026-03-31T14:27:42-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,60,15:00,0,39.0,28.0,72,1,2026-03-31T15:03:04-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,63,15:45,45,50.0,36.0,72,1,2026-03-31T15:47:21-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,65,16:15,15,42.0,30.0,72,1,2026-03-31T16:19:35-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,67,16:45,45,53.0,38.0,72,1,2026-03-31T16:52:45-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,72,18:00,0,38.0,27.0,72,1,2026-03-31T18:14:10-07:00
Main Gym Fitness Gym,2026-03-31,Tuesday,85,21:15,15,43.0,31.0,72,1,2026-03-31T21:22:10-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,29,07:15,15,32.0,23.0,72,1,2026-04-01T07:16:28-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,35,08:45,45,25.0,18.0,72,1,2026-04-01T08:45:23-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,38,09:30,30,33.0,24.0,72,1,2026-04-01T09:38:57-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,42,10:30,30,47.0,34.0,72,1,2026-04-01T10:34:13-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,46,11:30,30,35.0,25.0,72,1,2026-04-01T11:32:36-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,50,12:30,30,64.0,46.0,72,1,2026-04-01T12:31:54-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,51,12:45,45,43.0,31.0,72,1,2026-04-01T12:45:23-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,52,13:00,0,49.0,35.0,72,1,2026-04-01T13:08:08-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,56,14:00,0,32.0,23.0,72,1,2026-04-01T14:00:34-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,59,14:45,45,64.0,46.0,72,1,2026-04-01T14:57:01-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,62,15:30,30,47.0,34.0,72,1,2026-04-01T15:36:54-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,65,16:15,15,36.0,26.0,72,1,2026-04-01T16:21:20-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,67,16:45,45,53.0,38.0,72,1,2026-04-01T16:55:34-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,68,17:00,0,31.0,22.0,72,1,2026-04-01T17:12:57-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,75,18:45,45,112.0,81.0,72,1,2026-04-01T18:55:13-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,85,21:15,15,65.0,47.0,72,1,2026-04-01T21:26:22-07:00
Main Gym Fitness Gym,2026-04-01,Wednesday,91,22:45,45,72.0,52.0,72,1,2026-04-01T22:56:14-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,27,06:45,45,25.0,18.0,72,1,2026-04-02T06:56:13-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,31,07:45,45,4.0,3.0,72,1,2026-04-02T07:53:12-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,35,08:45,45,15.0,11.0,72,1,2026-04-02T08:55:40-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,39,09:45,45,28.0,20.0,72,1,2026-04-02T09:53:11-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,42,10:30,30,38.0,27.0,72,1,2026-04-02T10:44:46-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,46,11:30,30,62.0,45.0,72,1,2026-04-02T11:36:43-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,50,12:30,30,54.0,39.0,72,1,2026-04-02T12:35:38-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,53,13:15,15,40.0,29.0,72,1,2026-04-02T13:18:12-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,56,14:00,0,58.0,42.0,72,1,2026-04-02T14:00:37-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,59,14:45,45,50.0,36.0,72,1,2026-04-02T14:52:13-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,61,15:15,15,65.0,47.0,72,1,2026-04-02T15:26:27-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,63,15:45,45,26.0,19.0,72,1,2026-04-02T15:58:42-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,66,16:30,30,44.0,32.0,72,1,2026-04-02T16:38:54-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,68,17:00,0,68.0,49.0,72,1,2026-04-02T17:03:39-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,81,20:15,15,29.0,21.0,72,1,2026-04-02T20:27:04-07:00
Main Gym Fitness Gym,2026-04-02,Thursday,89,22:15,15,19.0,14.0,72,1,2026-04-02T22:20:35-07:00
Main Gym Fitness Gym,2026-04-03,Friday,27,06:45,45,26.0,19.0,72,1,2026-04-03T06:59:53-07:00
Main Gym Fitness Gym,2026-04-03,Friday,31,07:45,45,7.0,5.0,72,1,2026-04-03T07:52:56-07:00
Main Gym Fitness Gym,2026-04-03,Friday,34,08:30,30,7.0,5.0,72,1,2026-04-03T08:35:21-07:00
Main Gym Fitness Gym,2026-04-03,Friday,36,09:00,0,28.0,20.0,72,1,2026-04-03T09:06:47-07:00
Main Gym Fitness Gym,2026-04-03,Friday,39,09:45,45,35.0,25.0,72,1,2026-04-03T09:56:47-07:00
Main Gym Fitness Gym,2026-04-03,Friday,42,10:30,30,28.0,20.0,72,1,2026-04-03T10:33:46-07:00
Main Gym Fitness Gym,2026-04-03,Friday,44,11:00,0,22.0,16.0,72,1,2026-04-03T11:06:38-07:00
Main Gym Fitness Gym,2026-04-03,Friday,48,12:00,0,25.0,18.0,72,1,2026-04-03T12:04:41-07:00
Main Gym Fitness Gym,2026-04-03,Friday,51,12:45,45,32.0,23.0,72,1,2026-04-03T12:52:34-07:00
Main Gym Fitness Gym,2026-04-03,Friday,54,13:30,30,18.0,13.0,72,1,2026-04-03T13:30:05-07:00
Main Gym Fitness Gym,2026-04-03,Friday,56,14:00,0,33.0,24.0,72,1,2026-04-03T14:03:37-07:00
Main Gym Fitness Gym,2026-04-03,Friday,59,14:45,45,43.0,31.0,72,1,2026-04-03T14:49:37-07:00
Main Gym Fitness Gym,2026-04-03,Friday,61,15:15,15,21.0,15.0,72,1,2026-04-03T15:27:27-07:00
Main Gym Fitness Gym,2026-04-03,Friday,64,16:00,0,38.0,27.0,72,1,2026-04-03T16:01:27-07:00
Main Gym Fitness Gym,2026-04-03,Friday,67,16:45,45,21.0,15.0,72,1,2026-04-03T16:48:00-07:00
Main Gym Fitness Gym,2026-04-03,Friday,75,18:45,45,19.0,14.0,72,1,2026-04-03T18:45:07-07:00
Main Gym Fitness Gym,2026-04-03,Friday,84,21:00,0,18.0,13.0,72,1,2026-04-03T21:03:08-07:00
Main Gym Fitness Gym,2026-04-03,Friday,90,22:30,30,33.0,24.0,72,1,2026-04-03T22:35:22-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,34,08:30,30,22.0,16.0,72,1,2026-04-04T08:36:34-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,36,09:00,0,19.0,14.0,72,1,2026-04-04T09:01:09-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,39,09:45,45,26.0,19.0,72,1,2026-04-04T09:51:56-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,41,10:15,15,21.0,15.0,72,1,2026-04-04T10:24:51-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,43,10:45,45,11.0,8.0,72,1,2026-04-04T10:54:52-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,46,11:30,30,44.0,32.0,72,1,2026-04-04T11:34:02-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,49,12:15,15,17.0,12.0,72,1,2026-04-04T12:19:09-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,51,12:45,45,19.0,14.0,72,1,2026-04-04T12:52:19-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,53,13:15,15,26.0,19.0,72,1,2026-04-04T13:23:32-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,55,13:45,45,21.0,15.0,72,1,2026-04-04T13:55:31-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,57,14:15,15,20.0,14.5,72,2,2026-04-04T14:26:30-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,58,14:30,30,15.0,11.0,72,1,2026-04-04T14:38:54-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,59,14:45,45,18.0,13.0,72,1,2026-04-04T14:55:10-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,61,15:15,15,19.0,14.0,72,1,2026-04-04T15:23:22-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,63,15:45,45,15.0,11.0,72,1,2026-04-04T15:55:31-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,65,16:15,15,3.0,2.0,72,1,2026-04-04T16:26:28-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,67,16:45,45,3.0,2.0,72,1,2026-04-04T16:54:49-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,69,17:15,15,21.0,15.0,72,1,2026-04-04T17:28:03-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,72,18:00,0,11.0,8.0,72,3,2026-04-04T18:10:29-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,73,18:15,15,9.0,6.67,72,3,2026-04-04T18:16:03-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,74,18:30,30,12.0,9.0,72,1,2026-04-04T18:30:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,75,18:45,45,22.0,16.0,72,1,2026-04-04T18:45:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,76,19:00,0,25.0,18.0,72,1,2026-04-04T19:00:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,77,19:15,15,25.0,18.0,72,1,2026-04-04T19:15:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,78,19:30,30,15.0,11.0,72,1,2026-04-04T19:30:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,79,19:45,45,17.0,12.0,72,1,2026-04-04T19:45:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,80,20:00,0,25.0,18.0,72,1,2026-04-04T20:00:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,81,20:15,15,15.0,11.0,72,1,2026-04-04T20:15:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,82,20:30,30,33.0,24.0,72,1,2026-04-04T20:30:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,83,20:45,45,8.0,6.0,72,1,2026-04-04T20:45:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,84,21:00,0,29.0,21.0,72,1,2026-04-04T21:00:05-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,85,21:15,15,18.0,13.0,72,1,2026-04-04T21:15:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,86,21:30,30,24.0,17.0,72,1,2026-04-04T21:30:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,87,21:45,45,21.0,15.0,72,1,2026-04-04T21:45:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,88,22:00,0,28.0,20.0,72,1,2026-04-04T22:00:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,89,22:15,15,33.0,24.0,72,1,2026-04-04T22:15:04-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,90,22:30,30,19.0,14.0,72,1,2026-04-04T22:30:05-07:00
Main Gym Fitness Gym,2026-04-04,Saturday,91,22:45,45,24.0,17.0,72,1,2026-04-04T22:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,34,08:30,30,15.0,11.0,72,1,2026-04-05T08:30:39-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,39,09:45,45,7.0,5.0,72,1,2026-04-05T09:45:08-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,40,10:00,0,18.0,13.0,72,1,2026-04-05T10:00:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,41,10:15,15,7.0,5.0,72,1,2026-04-05T10:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,42,10:30,30,1.0,1.0,72,1,2026-04-05T10:30:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,43,10:45,45,31.0,22.0,72,1,2026-04-05T10:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,44,11:00,0,29.0,21.0,72,1,2026-04-05T11:00:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,45,11:15,15,112.0,81.0,72,1,2026-04-05T11:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,46,11:30,30,22.0,16.0,72,1,2026-04-05T11:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,47,11:45,45,25.0,18.0,72,1,2026-04-05T11:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,48,12:00,0,12.0,9.0,72,1,2026-04-05T12:00:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,49,12:15,15,22.0,16.0,72,1,2026-04-05T12:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,50,12:30,30,46.0,33.0,72,1,2026-04-05T12:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,51,12:45,45,21.0,15.0,72,1,2026-04-05T12:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,52,13:00,0,22.0,16.0,72,1,2026-04-05T13:00:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,53,13:15,15,25.0,18.0,72,1,2026-04-05T13:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,54,13:30,30,11.0,8.0,72,1,2026-04-05T13:30:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,55,13:45,45,15.0,11.0,72,1,2026-04-05T13:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,56,14:00,0,19.0,14.0,72,1,2026-04-05T14:00:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,57,14:15,15,8.0,6.0,72,1,2026-04-05T14:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,58,14:30,30,12.0,9.0,72,1,2026-04-05T14:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,59,14:45,45,15.0,11.0,72,1,2026-04-05T14:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,60,15:00,0,35.0,25.0,72,1,2026-04-05T15:00:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,61,15:15,15,18.0,13.0,72,1,2026-04-05T15:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,62,15:30,30,10.0,7.0,72,1,2026-04-05T15:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,63,15:45,45,22.0,16.0,72,1,2026-04-05T15:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,64,16:00,0,18.0,13.0,72,1,2026-04-05T16:00:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,65,16:15,15,12.0,9.0,72,1,2026-04-05T16:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,66,16:30,30,21.0,15.0,72,1,2026-04-05T16:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,67,16:45,45,24.0,17.0,72,1,2026-04-05T16:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,68,17:00,0,28.0,20.0,72,1,2026-04-05T17:00:06-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,69,17:15,15,29.0,21.0,72,1,2026-04-05T17:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,70,17:30,30,17.0,12.0,72,1,2026-04-05T17:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,71,17:45,45,17.0,12.0,72,1,2026-04-05T17:45:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,72,18:00,0,11.0,8.0,72,1,2026-04-05T18:00:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,73,18:15,15,21.0,15.0,72,1,2026-04-05T18:15:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,74,18:30,30,22.0,16.0,72,1,2026-04-05T18:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,75,18:45,45,15.0,11.0,72,1,2026-04-05T18:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,76,19:00,0,28.0,20.0,72,1,2026-04-05T19:00:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,77,19:15,15,14.0,10.0,72,1,2026-04-05T19:15:06-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,78,19:30,30,22.0,16.0,72,1,2026-04-05T19:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,79,19:45,45,26.0,19.0,72,1,2026-04-05T19:45:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,80,20:00,0,24.0,17.0,72,1,2026-04-05T20:00:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,81,20:15,15,29.0,21.0,72,1,2026-04-05T20:18:59-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,82,20:30,30,24.0,17.0,72,1,2026-04-05T20:30:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,83,20:45,45,28.0,20.0,72,1,2026-04-05T20:45:18-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,84,21:00,0,21.0,15.0,72,1,2026-04-05T21:00:06-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,85,21:15,15,21.0,15.0,72,1,2026-04-05T21:15:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,86,21:30,30,24.0,17.0,72,1,2026-04-05T21:30:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,87,21:45,45,18.0,13.0,72,1,2026-04-05T21:45:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,88,22:00,0,11.0,8.0,72,1,2026-04-05T22:00:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,89,22:15,15,29.0,21.0,72,1,2026-04-05T22:15:05-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,90,22:30,30,25.0,18.0,72,1,2026-04-05T22:30:04-07:00
Main Gym Fitness Gym,2026-04-05,Sunday,91,22:45,45,17.0,12.0,72,1,2026-04-05T22:45:06-07:00
Main Gym Fitness Gym,2026-04-06,Monday,24,06:00,0,1.0,1.0,72,1,2026-04-06T06:00:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,25,06:15,15,8.0,6.0,72,1,2026-04-06T06:15:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,26,06:30,30,12.0,9.0,72,1,2026-04-06T06:30:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,27,06:45,45,15.0,11.0,72,1,2026-04-06T06:45:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,28,07:00,0,18.0,13.0,72,1,2026-04-06T07:00:06-07:00
Main Gym Fitness Gym,2026-04-06,Monday,29,07:15,15,4.0,3.0,72,1,2026-04-06T07:15:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,30,07:30,30,10.0,7.0,72,1,2026-04-06T07:30:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,31,07:45,45,10.0,7.0,72,1,2026-04-06T07:45:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,32,08:00,0,21.0,15.0,72,1,2026-04-06T08:00:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,33,08:15,15,22.0,16.0,72,1,2026-04-06T08:15:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,34,08:30,30,24.0,17.0,72,1,2026-04-06T08:30:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,35,08:45,45,17.0,12.0,72,1,2026-04-06T08:45:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,36,09:00,0,24.0,17.0,72,1,2026-04-06T09:00:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,37,09:15,15,10.0,7.0,72,1,2026-04-06T09:15:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,38,09:30,30,28.0,20.0,72,1,2026-04-06T09:30:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,39,09:45,45,29.0,21.0,72,1,2026-04-06T09:45:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,40,10:00,0,19.0,14.0,72,1,2026-04-06T10:00:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,41,10:15,15,28.0,20.0,72,1,2026-04-06T10:15:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,42,10:30,30,24.0,17.0,72,1,2026-04-06T10:30:05-07:00
Main Gym Fitness Gym,2026-04-06,Monday,43,10:45,45,38.0,27.0,72,1,2026-04-06T10:45:04-07:00
Main Gym Fitness Gym,2026-04-06,Monday,44,11:00,0,38.0,27.0,72,1,2026-04-06T11:00:06-07:00
